Date, Open, High, Low, Close
2022-10-04,3144.73,3154.3,3128.62,3138.9
2022-10-03,3113.0,3126.98,3102.9,3107.09
2022-09-30,3108.94,3137.06,3098.24,3130.24
2022-09-29,3130.69,3155.35,3115.08,3115.08
2022-09-28,3155.67,3160.75,3112.91,3116.31
2022-09-27,3178.09,3181.61,3158.32,3165.5
2022-09-26,3214.57,3223.51,3169.8,3181.97
2022-09-23,3242.38,3247.92,3224.58,3227.1
2022-09-22,3250.67,3266.64,3243.46,3263.07
2022-09-21,3261.54,3271.96,3254.77,3261.79
2022-09-20,3265.91,3275.51,3261.63,3266.94
2022-09-19,3259.57,3274.47,3252.21,3256.31
2022-09-16,3261.92,3279.68,3250.51,3268.29
2022-09-15,3262.53,3277.62,3260.73,3267.98
2022-09-14,3241.36,3266.32,3241.36,3258.02
2022-09-13,3280.17,3297.59,3278.84,3290.08
2022-09-12,3277.34,3279.75,3264.76,3274.72
2022-09-09,3243.2,3266.64,3238.89,3262.95
2022-09-08,3230.79,3242.98,3227.48,3233.61
2022-09-07,3207.14,3217.51,3198.39,3210.83
2022-09-06,3223.15,3234.45,3217.17,3224.18
2022-09-05,3211.96,3222.61,3207.09,3215.48
2022-09-02,3214.5,3223.5,3200.58,3205.69
2022-09-01,3211.56,3224.08,3224.08,3224.08
2022-08-31,3224.17,3233.61,3212.18,3221.67
2022-08-30,3221.74,3249.35,3221.74,3239.33
2022-08-29,3210.13,3225.92,3205.58,3222.26
2022-08-26,3249.97,3264.18,3248.12,3249.53
2022-08-25,3240.9,3256.55,3237.21,3247.8
2022-08-24,3243.83,3246.6,3227.9,3233.48
2022-08-23,3251.28,3259.42,3224.98,3246.21
2022-08-22,3240.03,3270.82,3235.31,3262.57
2022-08-19,3270.6,3271.95,3240.05,3246.51
2022-08-18,3257.64,3288.47,3257.48,3273.48
2022-08-17,3254.6,3272.06,3253.46,3262.76
2022-08-16,3250.84,3259.92,3243.96,3253.79
2022-08-15,3261.4,3267.44,3256.12,3256.82
2022-08-12,3287.36,3289.5,3266.17,3269.27
2022-08-11,3296.27,3307.29,3287.84,3301.96
2022-08-10,3270.89,3289.47,3269.24,3286.33
2022-08-08,3278.35,3278.35,3255.18,3270.98
2022-08-05,3275.19,3285.29,3268.47,3282.88
2022-08-04,3258.35,3270.59,3242.29,3269.86
2022-08-03,3241.67,3257.4,3231.67,3252.06
2022-08-02,3231.45,3244.06,3227.37,3239.15
2022-08-01,3215.42,3254.49,3211.14,3238.75
2022-07-29,3238.15,3244.29,3199.96,3211.56
2022-07-28,3216.99,3225.35,3203.73,3220.65
2022-07-27,3188.05,3207.32,3178.67,3205.14
2022-07-26,3174.91,3192.12,3192.12,3192.12
2022-07-25,3176.01,3209.76,3175.48,3180.47
2022-07-22,3162.96,3186.57,3162.96,3181.34
2022-07-21,3165.23,3166.28,3144.77,3152.3
2022-07-20,3135.21,3170.29,3170.29,3170.29
2022-07-19,3109.95,3124.87,3108.43,3117.79
2022-07-18,3113.97,3126.21,3112.01,3121.76
2022-07-15,3094.02,3108.22,3088.25,3099.15
2022-07-14,3119.29,3120.78,3089.43,3090.63
2022-07-13,3148.42,3150.11,3117.86,3128.69
2022-07-12,3135.76,3147.73,3129.38,3145.77
2022-07-08,3139.41,3141.09,3121.74,3131.26
2022-07-07,3096.89,3129.4,3093.47,3129.4
2022-07-06,3112.03,3124.57,3096.38,3103.66
2022-07-05,3130.73,3135.05,3099.44,3104.11
2022-07-04,3106.39,3127.35,3104.43,3120.24
2022-07-01,3104.25,3121.25,3089.4,3095.59
2022-06-30,3131.93,3138.21,3102.21,3102.21
2022-06-29,3125.86,3154.76,3123.9,3134.87
2022-06-28,3127.49,3145.17,3124.22,3140.21
2022-06-27,3128.72,3142.31,3120.39,3137.54
2022-06-24,3107.57,3115.73,3100.21,3111.65
2022-06-23,3107.08,3124.45,3092.8,3092.8
2022-06-22,3121.3,3132.17,3092.84,3093.31
2022-06-21,3108.67,3127.26,3102.84,3117.48
2022-06-20,3099.41,3104.25,3086.45,3096.4
